link,rank,title,country,description,ep,genres,keywords,aired,network,duration,content_rating,score,num_scored_by,num_watcher,actors,screenwriter,director
https://mydramalist.com/10276-only-love,2437,Only Love,South Korea,A daily drama about the love of men and women.,123,"['Romance', 'Family']","['Soap Opera', 'Revenge']",2014-06-02,SBS,40 min.,15+ - Teens 15 or older,6.7,54,536,"['Seo Ha Joon', 'Im Se Mi', 'Lee Kyu Han', 'Nam Bo Ra', 'Yoon Jong Hoon', 'Kim Ye Won']",Choi Yoon Jung ,Ahn Gil Ho 
https://mydramalist.com/2287-lets-go-to-the-beach,2438,Let's Go to The Beach,South Korea,"Yoon So Ra: She is the owner of Sora Motel on the east coast, and has an insatiable desire for food. She is a helpless klutz, but she dreams of becoming a dolphin trainer somedady.

Jang Tae Poong: He openly admits that he has no brains, but he is a bold fellow who always gets into trouble. He is deeply loyal to his friends and very protective of the person he loves.",14,"['Friendship', 'Comedy', 'Romance']",N/A,2005-07-30,SBS,60 min.,Not Yet Rated,6.7,262,602,"['Lee Wan', 'Lee Chung Ah', 'Jun Jin', 'Kang Jung Hwa', 'Park Joon Suk', 'Go Eun Chae']","Jo Yoon Young,  Moon Hee Jung ",Lee Seung Ryul 
https://mydramalist.com/15879-beautiful-you,2439,Beautiful You,South Korea,"When her parents disapprove of her boyfriend, Seo Gyung decides to elope with him to America and only when she becomes a mother herself does she understand her parents and how important family is. During her darkest hours, her family was there for her. When she is caught in a love triangle with two suitors, she finds her true self through love, courage and emotional healing.
(Source: MBC)",122,"['Romance', 'Family']",N/A,2015-11-09,MBC,35 min.,15+ - Teens 15 or older,6.7,113,517,"['Kang Eun Tak', 'Lee So Yeon', 'Lee Shi Won', 'Seo Do Young', 'Jung Ae Ri', 'Kim Gyu Seon']",Park Jung Ran ,"Park Sang Hoon,  Go Dong Sun "
https://mydramalist.com/602-princess-lulu,2440,Princess LuLu,South Korea,"Does a love story only exist in tales?

Will the Real Prince and Snow White live a happy life described in the tale?

The rich-born girl Go Hee Soo treats Kim Chan Ho like her birth younger brother, with the playboy Kang Woo Jin, who plays triangle relations part with the two. You will see endless climaxes and love stories.

Hee Soo is the granddaughter of the president of the biggest group",20,"['Comedy', 'Romance', 'Drama']","[""Stepbrothers' Relationship"", 'Family Business', 'Supportive Family', 'Fast Paced Romance', 'Playful Male Lead', 'Nice Female Lead', 'Rich Female Lead', 'Playboy Male Lead', 'Secret Relationship', 'Male Chases Female First']",2005-07-27,SBS,1 hr. 10 min.,15+ - Teens 15 or older,6.7,323,821,"['Kim Heung Soo', 'Kim Jung Eun', 'Jung Joon Ho', 'Ha Seok Jin', 'Heo Jung Min', 'Lee Seung Woo']",Lee Hye Seon ,"Son Jung Hyun,  Park Hyung Ki "
https://mydramalist.com/1469-before-and-after-plastic-surgery-clinic,2441,Before and After: Plastic Surgery Clinic,South Korea,Han Geon Soo is the young clinic owner who tries to protect his clinic from being taken over by loan sharks. He tries his best to save the clinic when uncollected loans are passed on to him after his father's sudden death. Choi Yong Woo is a talented doctor who joins the clinic to return his thanks to Geon Soo's father. Yong Woo is someone that often gets into arguments with patients,12,"['Drama', 'Medical']","['Bad/Wrong Tag', 'Plastic Surgery', 'Love Triangle']",2008-01-06,MBC,1 hr. 5 min.,Not Yet Rated,6.7,275,695,"['So Yi Hyun', 'Lee Jin Wook', 'Kim Sung Min', 'Jung Ae Yun', 'Ahn Suk Hwan', 'Choi Yong Min']",Kim Soo Jin ,"Kim Sang Hyub,  Kim Min Shik,  Kim Do Hyung "
https://mydramalist.com/1199-stranger-than-paradise,2442,Stranger Than Paradise,South Korea,"Promising film-like production values, this show tells the story of an adopted lawyer from Canada (Lee Sung Jae), a Korean singer dreaming of escaping abroad (Kim Min Jung) and her manager (Uhm Tae Woong). However, the two boys are lost brothers, and they love the same woman.",16,['Romance'],"[""Brothers' Relationship"", 'Love Triangle']",2006-07-31,SBS,60 min.,Not Yet Rated,6.7,32,165,"['Uhm Tae Woong', 'Kim Min Jung', 'Lee Sung Jae', 'Kim Bin Woo', 'Son Byung Ho', 'Song Yi Woo']","Park Hye Ryun,  Jo Jung Hwa ",Kim Jong Hyeok 
https://mydramalist.com/712307-idol-and-i,2443,Idol and I,South Korea,"Follows the story of two young people, Seo Ji Yu who works part-time at a cafe during the day, and is a web novel writer at night, and Kang Ri Hyun, a popular idol trainee who has lost his memory.

(Source: Spanish = Drama.fandom.com || Translation = myotalmy at MyDramaList)",5,['Romance'],"['Short Length Series', 'Miniseries', 'Web Series']",2021-08-12,Naver TV Cast,7 min.,Not Yet Rated,6.7,32,127,"['Nam Dae Jung', 'Song Ye Jin', 'Yang Tae Seon']",,
https://mydramalist.com/33355-love-security,2444,Love Security,South Korea,"LABOUM’s Yoo Jung stars as herself in this rom-com thriller about celebrities, stalkers, and cyberspace. When a k-pop idol’s shocking past photos are leaked onto the Internet, she decides to the turn the tables on the hackers–and ends up in a love triangle.
(Source: AsianCrush)",9,"['Thriller', 'Comedy', 'Romance']","['Web Series', 'Hacker', 'Celebrity', 'Entertainment Industry', 'Miniseries', 'College Life', 'Suspense']",2017-03-05,Naver TV Cast,10 min.,Not Yet Rated,6.7,28,115,"['Kim Yoo Jung', 'ZN', 'Yum Hae In', 'Jung So Yeon', 'Kim Yool Hee', 'Kwak Ye Heon']",,
https://mydramalist.com/1192-snow-flower,2445,Snow Flower,South Korea,"When she was young, Yoo Da Mi was forced to move in with her grandmother. Unknowingly, it was then when her father disappeared from her life, and since then, she had always thought that her father was dead. As time wore on, her mother became one of the country's best-selling authors, but due to this, she had never found the time to be with her daughter. Suddenly, one day, Da Mi accidentally",16,"['Romance', 'Drama']",['Mother-Daughter Relationship'],2006-11-20,SBS,,13+ - Teens 13 or older,6.7,132,592,"['Kim Ki Bum', 'Kim Hee Ae', 'Go Ah Ra', 'Jo Jae Hyun', 'Lee Chan', 'Kim Young Ok']",Park Jin Woo ,Lee Jong Soo 
https://mydramalist.com/2758-snowman,2446,Snowman,South Korea,"Although at first unwillingly, Jo and Gong later become the best of sister/brother-in-law. They depend on each other for help, trouble, and fun. Oh Yuhn Soo, Jo's wife, is grateful at the happy relationship, but things go astray when Gong grows a greater affection for Jo. When Gong confesses her feelings for Jo, the two start to grow apart. Although they later end up in the same police department, they try hard",17,"['Romance', 'Drama']","['Age Gap [Drama Life]', 'Age Gap [Real Life]', 'Forbidden Love', 'Older Man/Younger Woman', 'Unrequited Love']",2003-01-08,MBC,,Not Yet Rated,6.7,103,344,"['Gong Hyo Jin', 'Jo Jae Hyun', 'Oh Yeon Soo', 'Kim Rae Won', 'Wang Bit Na', 'Myung Gye Nam']",Kim Do Woo ,Lee Chang Soon 
